bidding_exercise,date,year,category,premium,quota,total_bids_received,number_of_successful_bids,quarter,month,day,new_date,total_motor_veh,cat_a,month_lag,year_lag,total_motor_veh_dereg,cat_a_dereg,gdp,quarter_lag,year_lag2,quarter_lag2,total_pop,pop_density,total_pop_growth,average_income,median_income,average_employed_income,median_employed_income,close,air_departures,birth_rate
August 2018 Second Open Bidding Exercise,2018-08-23 00:00:00,2018,cat_a,31997.0,1695.0,2948.0,1695.0,3,8,15,2018-08-15 00:00:00,956287.0,317500.0,9.0,2018.0,9543.0,4001.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3234.12,2817913.0,8.8
August 2018 First Open Bidding Exercise,2018-08-08 00:00:00,2018,cat_a,33798.0,1672.0,3633.0,1672.0,3,8,1,2018-08-01 00:00:00,956287.0,317500.0,9.0,2018.0,9543.0,4001.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3328.95,2817913.0,8.8
July 2018 Second Open Bidding Exercise,2018-07-18 00:00:00,2018,cat_a,32699.0,1443.0,3100.0,1412.0,3,7,15,2018-07-15 00:00:00,957297.0,318780.0,8.0,2018.0,10396.0,4213.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2764491.0,8.8
July 2018 First Open Bidding Exercise,2018-07-04 00:00:00,2018,cat_a,25000.0,1435.0,1626.0,1427.0,3,7,1,2018-07-01 00:00:00,957297.0,318780.0,8.0,2018.0,10396.0,4213.0,9.9,4.0,2019.0,1.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2764491.0,8.8
June 2018 Second Open Bidding Exercise,2018-06-20 00:00:00,2018,cat_a,34110.0,1446.0,1818.0,1437.0,2,6,15,2018-06-15 00:00:00,959938.0,320934.0,7.0,2018.0,9585.0,3823.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2700106.0,8.8
June 2018 First Open Bidding Exercise,2018-06-06 00:00:00,2018,cat_a,36426.0,1441.0,1696.0,1440.0,2,6,1,2018-06-01 00:00:00,959938.0,320934.0,7.0,2018.0,9585.0,3823.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3427.51,2700106.0,8.8
May 2018 Second Open Bidding Exercise,2018-05-23 00:00:00,2018,cat_a,38001.0,1434.0,1805.0,1422.0,2,5,15,2018-05-15 00:00:00,956839.0,318830.0,6.0,2018.0,9874.0,3653.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3540.23,2644254.0,8.8
May 2018 First Open Bidding Exercise,2018-05-09 00:00:00,2018,cat_a,38941.0,1435.0,1836.0,1428.0,2,5,1,2018-05-01 00:00:00,956839.0,318830.0,6.0,2018.0,9874.0,3653.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2644254.0,8.8
April 2018 Second Open Bidding Exercise,2018-04-18 00:00:00,2018,cat_a,38510.0,1566.0,2027.0,1566.0,2,4,15,2018-04-15 00:00:00,957246.0,318594.0,5.0,2018.0,9238.0,3604.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2640693.0,8.8
April 2018 First Open Bidding Exercise,2018-04-04 00:00:00,2018,cat_a,37000.0,1566.0,1888.0,1564.0,2,4,1,2018-04-01 00:00:00,957246.0,318594.0,5.0,2018.0,9238.0,3604.0,8.7,3.0,2018.0,4.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2640693.0,8.8
March 2018 Second Open Bidding Exercise,2018-03-21 00:00:00,2018,cat_a,38000.0,1559.0,2117.0,1551.0,1,3,15,2018-03-15 00:00:00,957562.0,318856.0,4.0,2018.0,9557.0,3310.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3517.73,2760196.0,8.8
March 2018 First Open Bidding Exercise,2018-03-07 00:00:00,2018,cat_a,38830.0,1580.0,2405.0,1572.0,1,3,1,2018-03-01 00:00:00,957562.0,318856.0,4.0,2018.0,9557.0,3310.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3513.85,2760196.0,8.8
February 2018 Second Open Bidding Exercise,2018-02-21 00:00:00,2018,cat_a,36810.0,1562.0,2073.0,1561.0,1,2,15,2018-02-15 00:00:00,958540.0,318492.0,3.0,2018.0,6763.0,2458.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3443.51,2461291.0,8.8
February 2018 First Open Bidding Exercise,2018-02-07 00:00:00,2018,cat_a,40000.0,1557.0,2389.0,1534.0,1,2,1,2018-02-01 00:00:00,958540.0,318492.0,3.0,2018.0,6763.0,2458.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3547.23,2461291.0,8.8
January 2018 Second Open Bidding Exercise,2018-01-17 00:00:00,2018,cat_a,36890.0,1713.0,1938.0,1708.0,1,1,15,2018-01-15 00:00:00,959227.0,318282.0,2.0,2018.0,9331.0,3778.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,3536.41,2525462.0,8.8
January 2018 First Open Bidding Exercise,2018-01-04 00:00:00,2018,cat_a,41400.0,1693.0,2264.0,1693.0,1,1,1,2018-01-01 00:00:00,959227.0,318282.0,2.0,2018.0,9331.0,3778.0,5.2,2.0,2018.0,3.0,5638676.0,7804.0,0.5,9679.0,6984.0,11016.0,8169.0,,2525462.0,8.8
December 2017 Second Open Bidding Exercise,2017-12-20 00:00:00,2017,cat_a,38200.0,1687.0,1970.0,1654.0,4,12,15,2017-12-15 00:00:00,961842.0,318536.0,1.0,2018.0,9446.0,3440.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3416.94,2866096.0,8.9
December 2017 First Open Bidding Exercise,2017-12-06 00:00:00,2017,cat_a,42339.0,1680.0,2158.0,1667.0,4,12,1,2017-12-01 00:00:00,961842.0,318536.0,1.0,2018.0,9446.0,3440.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3449.54,2866096.0,8.9
November 2017 Second Open Bidding Exercise,2017-11-22 00:00:00,2017,cat_a,46791.0,1686.0,2721.0,1679.0,4,11,15,2017-11-15 00:00:00,956961.0,317607.0,12.0,2017.0,9035.0,3371.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3368.7,2606883.0,8.9
November 2017 First Open Bidding Exercise,2017-11-08 00:00:00,2017,cat_a,47112.0,1683.0,3430.0,1683.0,4,11,1,2017-11-01 00:00:00,956961.0,317607.0,12.0,2017.0,9035.0,3371.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3391.61,2606883.0,8.9
October 2017 Second Open Bidding Exercise,2017-10-19 00:00:00,2017,cat_a,41617.0,1815.0,2391.0,1809.0,4,10,15,2017-10-15 00:00:00,955542.0,317224.0,11.0,2017.0,9411.0,3554.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2546111.0,8.9
October 2017 First Open Bidding Exercise,2017-10-04 00:00:00,2017,cat_a,41761.0,1829.0,2808.0,1827.0,4,10,1,2017-10-01 00:00:00,955542.0,317224.0,11.0,2017.0,9411.0,3554.0,8.4,1.0,2018.0,2.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2546111.0,8.9
September 2017 Second Open Bidding Exercise,2017-09-20 00:00:00,2017,cat_a,42902.0,1815.0,3469.0,1815.0,3,9,15,2017-09-15 00:00:00,955156.0,317362.0,10.0,2017.0,9178.0,3495.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3209.56,2389930.0,8.9
September 2017 First Open Bidding Exercise,2017-09-06 00:00:00,2017,cat_a,36001.0,1820.0,2195.0,1806.0,3,9,1,2017-09-01 00:00:00,955156.0,317362.0,10.0,2017.0,9178.0,3495.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2389930.0,8.9
August 2017 Second Open Bidding Exercise,2017-08-23 00:00:00,2017,cat_a,42900.0,1817.0,2148.0,1817.0,3,8,15,2017-08-15 00:00:00,955554.0,318082.0,9.0,2017.0,9891.0,3720.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3294.93,2631532.0,8.9
August 2017 First Open Bidding Exercise,2017-08-10 00:00:00,2017,cat_a,46778.0,1817.0,2403.0,1812.0,3,8,1,2017-08-01 00:00:00,955554.0,318082.0,9.0,2017.0,9891.0,3720.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3338.2,2631532.0,8.9
July 2017 Second Open Bidding Exercise,2017-07-19 00:00:00,2017,cat_a,44002.0,1907.0,2389.0,1905.0,3,7,15,2017-07-15 00:00:00,954209.0,318056.0,8.0,2017.0,9843.0,3762.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2620083.0,8.9
July 2017 First Open Bidding Exercise,2017-07-05 00:00:00,2017,cat_a,42801.0,1904.0,2296.0,1902.0,3,7,1,2017-07-01 00:00:00,954209.0,318056.0,8.0,2017.0,9843.0,3762.0,6.9,4.0,2018.0,1.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2620083.0,8.9
June 2017 Second Open Bidding Exercise,2017-06-21 00:00:00,2017,cat_a,42801.0,1906.0,2302.0,1898.0,2,6,15,2017-06-15 00:00:00,953097.0,318144.0,7.0,2017.0,9261.0,3886.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3232.09,2550518.0,8.9
June 2017 First Open Bidding Exercise,2017-06-07 00:00:00,2017,cat_a,45201.0,1898.0,2245.0,1893.0,2,6,1,2017-06-01 00:00:00,953097.0,318144.0,7.0,2017.0,9261.0,3886.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3235.96,2550518.0,8.9
May 2017 Second Open Bidding Exercise,2017-05-24 00:00:00,2017,cat_a,46489.0,1920.0,2601.0,1913.0,2,5,15,2017-05-15 00:00:00,951149.0,317841.0,6.0,2017.0,9503.0,4074.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3264.21,2489147.0,8.9
May 2017 First Open Bidding Exercise,2017-05-11 00:00:00,2017,cat_a,51106.0,1905.0,2240.0,1905.0,2,5,1,2017-05-01 00:00:00,951149.0,317841.0,6.0,2017.0,9503.0,4074.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2489147.0,8.9
April 2017 Second Open Bidding Exercise,2017-04-26 00:00:00,2017,cat_a,51600.0,2052.0,2442.0,2030.0,2,4,15,2017-04-15 00:00:00,949364.0,317442.0,5.0,2017.0,9768.0,3914.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2549877.0,8.9
April 2017 First Open Bidding Exercise,2017-04-12 00:00:00,2017,cat_a,52000.0,2068.0,2486.0,2061.0,2,4,1,2017-04-01 00:00:00,949364.0,317442.0,5.0,2017.0,9768.0,3914.0,6.4,3.0,2017.0,4.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2549877.0,8.9
March 2017 Second Open Bidding Exercise,2017-03-29 00:00:00,2017,cat_a,51765.0,2096.0,2961.0,2096.0,1,3,15,2017-03-15 00:00:00,950582.0,317684.0,4.0,2017.0,16091.0,4428.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3137.43,2525511.0,8.9
March 2017 First Open Bidding Exercise,2017-03-15 00:00:00,2017,cat_a,50789.0,2061.0,3190.0,2045.0,1,3,1,2017-03-01 00:00:00,950582.0,317684.0,4.0,2017.0,16091.0,4428.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3122.77,2525511.0,8.9
February 2017 Second Open Bidding Exercise,2017-02-24 00:00:00,2017,cat_a,49430.0,2133.0,2926.0,2089.0,1,2,15,2017-02-15 00:00:00,955270.0,317446.0,3.0,2017.0,8869.0,3588.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3088.48,2281794.0,8.9
February 2017 First Open Bidding Exercise,2017-02-08 00:00:00,2017,cat_a,48401.0,2060.0,2691.0,2051.0,1,2,1,2017-02-01 00:00:00,955270.0,317446.0,3.0,2017.0,8869.0,3588.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,3067.49,2281794.0,8.9
January 2017 Second Open Bidding Exercise,2017-01-18 00:00:00,2017,cat_a,50889.0,1846.0,2437.0,1766.0,1,1,15,2017-01-15 00:00:00,955888.0,317387.0,2.0,2017.0,10080.0,4389.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2556029.0,8.9
January 2017 First Open Bidding Exercise,2017-01-05 00:00:00,2017,cat_a,50101.0,1877.0,2260.0,1870.0,1,1,1,2017-01-01 00:00:00,955888.0,317387.0,2.0,2017.0,10080.0,4389.0,8.7,2.0,2017.0,3.0,5612253.0,7796.0,0.1,9633.0,6913.0,10920.0,7956.0,,2556029.0,8.9
December 2016 Second Open Bidding Exercise,2016-12-21 00:00:00,2016,cat_a,49751.0,1844.0,2554.0,1843.0,4,12,15,2016-12-15 00:00:00,956430.0,318081.0,1.0,2017.0,9720.0,4513.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2930.77,2786523.0,9.4
December 2016 First Open Bidding Exercise,2016-12-07 00:00:00,2016,cat_a,48000.0,1844.0,2335.0,1812.0,4,12,1,2016-12-01 00:00:00,956430.0,318081.0,1.0,2017.0,9720.0,4513.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2928.58,2786523.0,9.4
November 2016 Second Open Bidding Exercise,2016-11-23 00:00:00,2016,cat_a,50951.0,1846.0,2536.0,1846.0,4,11,15,2016-11-15 00:00:00,956921.0,318859.0,12.0,2016.0,9835.0,4463.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2797.55,2409220.0,9.4
November 2016 First Open Bidding Exercise,2016-11-09 00:00:00,2016,cat_a,52668.0,1929.0,2800.0,1929.0,4,11,1,2016-11-01 00:00:00,956921.0,318859.0,12.0,2016.0,9835.0,4463.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2813.69,2409220.0,9.4
October 2016 Second Open Bidding Exercise,2016-10-19 00:00:00,2016,cat_a,50991.0,2023.0,2584.0,2021.0,4,10,15,2016-10-15 00:00:00,957030.0,319648.0,11.0,2016.0,9440.0,4475.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,,2368664.0,9.4
October 2016 First Open Bidding Exercise,2016-10-05 00:00:00,2016,cat_a,51507.0,2064.0,2938.0,1979.0,4,10,1,2016-10-01 00:00:00,957030.0,319648.0,11.0,2016.0,9440.0,4475.0,6.8,1.0,2017.0,2.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,,2368664.0,9.4
September 2016 Second Open Bidding Exercise,2016-09-21 00:00:00,2016,cat_a,50000.0,2008.0,2610.0,1993.0,3,9,15,2016-09-15 00:00:00,956719.0,319876.0,10.0,2016.0,9367.0,3798.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2805.52,2279281.0,9.4
September 2016 First Open Bidding Exercise,2016-09-07 00:00:00,2016,cat_a,51506.0,2067.0,2739.0,2011.0,3,9,1,2016-09-01 00:00:00,956719.0,319876.0,10.0,2016.0,9367.0,3798.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2816.47,2279281.0,9.4
August 2016 Second Open Bidding Exercise,2016-08-17 00:00:00,2016,cat_a,53334.0,2034.0,2803.0,2034.0,3,8,15,2016-08-15 00:00:00,955550.0,319188.0,9.0,2016.0,9295.0,4027.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2867.21,2438273.0,9.4
August 2016 First Open Bidding Exercise,2016-08-03 00:00:00,2016,cat_a,52503.0,2018.0,2712.0,1959.0,3,8,1,2016-08-01 00:00:00,955550.0,319188.0,9.0,2016.0,9295.0,4027.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2892.52,2438273.0,9.4
July 2016 Second Open Bidding Exercise,2016-07-20 00:00:00,2016,cat_a,53000.0,2272.0,3195.0,2246.0,3,7,15,2016-07-15 00:00:00,954919.0,318986.0,8.0,2016.0,9534.0,4244.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2925.35,2521603.0,9.4
July 2016 First Open Bidding Exercise,2016-07-07 00:00:00,2016,cat_a,52301.0,2222.0,3194.0,2212.0,3,7,1,2016-07-01 00:00:00,954919.0,318986.0,8.0,2016.0,9534.0,4244.0,3.4,4.0,2017.0,1.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2846.37,2521603.0,9.4
June 2016 Second Open Bidding Exercise,2016-06-22 00:00:00,2016,cat_a,55200.0,2252.0,3957.0,2197.0,2,6,15,2016-06-15 00:00:00,954717.0,319371.0,7.0,2016.0,9334.0,4064.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2774.25,2371241.0,9.4
June 2016 First Open Bidding Exercise,2016-06-08 00:00:00,2016,cat_a,53694.0,2218.0,4545.0,2213.0,2,6,1,2016-06-01 00:00:00,954717.0,319371.0,7.0,2016.0,9334.0,4064.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2790.54,2371241.0,9.4
May 2016 Second Open Bidding Exercise,2016-05-18 00:00:00,2016,cat_a,47020.0,2217.0,3227.0,2182.0,2,5,15,2016-05-15 00:00:00,953110.0,318588.0,6.0,2016.0,9759.0,4493.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,,2377533.0,9.4
May 2016 First Open Bidding Exercise,2016-05-05 00:00:00,2016,cat_a,47889.0,2218.0,3446.0,2217.0,2,5,1,2016-05-01 00:00:00,953110.0,318588.0,6.0,2016.0,9759.0,4493.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,,2377533.0,9.4
April 2016 Second Open Bidding Exercise,2016-04-20 00:00:00,2016,cat_a,47300.0,2062.0,3327.0,2061.0,2,4,15,2016-04-15 00:00:00,951865.0,318171.0,5.0,2016.0,11146.0,4575.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2923.94,2366216.0,9.4
April 2016 First Open Bidding Exercise,2016-04-06 00:00:00,2016,cat_a,46009.0,2105.0,3719.0,2103.0,2,4,1,2016-04-01 00:00:00,951865.0,318171.0,5.0,2016.0,11146.0,4575.0,2.9,3.0,2016.0,4.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2818.49,2366216.0,9.4
March 2016 Second Open Bidding Exercise,2016-03-23 00:00:00,2016,cat_a,45504.0,2053.0,3836.0,2020.0,1,3,15,2016-03-15 00:00:00,952731.0,318749.0,4.0,2016.0,13580.0,5937.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2839.44,2422486.0,9.4
March 2016 First Open Bidding Exercise,2016-03-09 00:00:00,2016,cat_a,45000.0,2033.0,3518.0,1957.0,1,3,1,2016-03-01 00:00:00,952731.0,318749.0,4.0,2016.0,13580.0,5937.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2682.39,2422486.0,9.4
February 2016 Second Open Bidding Exercise,2016-02-17 00:00:00,2016,cat_a,43000.0,2049.0,2965.0,2025.0,1,2,15,2016-02-15 00:00:00,955866.0,320562.0,3.0,2016.0,8679.0,4105.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2607.9,2293676.0,9.4
February 2016 First Open Bidding Exercise,2016-02-03 00:00:00,2016,cat_a,46651.0,2038.0,2972.0,2033.0,1,2,1,2016-02-01 00:00:00,955866.0,320562.0,3.0,2016.0,8679.0,4105.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2602.41,2293676.0,9.4
January 2016 Second Open Bidding Exercise,2016-01-20 00:00:00,2016,cat_a,51301.0,1659.0,3437.0,1638.0,1,1,15,2016-01-15 00:00:00,956966.0,321428.0,2.0,2016.0,9918.0,4497.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,2630.76,2319262.0,9.4
January 2016 First Open Bidding Exercise,2016-01-06 00:00:00,2016,cat_a,45002.0,1659.0,2013.0,1649.0,1,1,1,2016-01-01 00:00:00,956966.0,321428.0,2.0,2016.0,9918.0,4497.0,2.9,2.0,2016.0,3.0,5607283.0,7797.0,1.3,9359.0,6804.0,10493.0,7791.0,,2319262.0,9.4
December 2015 Second Open Bidding Exercise,2015-12-23 00:00:00,2015,cat_a,54301.0,1669.0,1978.0,1667.0,4,12,15,2015-12-15 00:00:00,957246.0,321972.0,1.0,2016.0,10032.0,4580.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,2815.52,2604316.0,9.7
December 2015 First Open Bidding Exercise,2015-12-09 00:00:00,2015,cat_a,56989.0,1698.0,2132.0,1696.0,4,12,1,2015-12-01 00:00:00,957246.0,321972.0,1.0,2016.0,10032.0,4580.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,2870.26,2604316.0,9.7
November 2015 Second Open Bidding Exercise,2015-11-18 00:00:00,2015,cat_a,59200.0,1662.0,2140.0,1650.0,4,11,15,2015-11-15 00:00:00,957931.0,322876.0,12.0,2015.0,9503.0,4216.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2343936.0,9.7
November 2015 First Open Bidding Exercise,2015-11-04 00:00:00,2015,cat_a,56001.0,1664.0,2009.0,1623.0,4,11,1,2015-11-01 00:00:00,957931.0,322876.0,12.0,2015.0,9503.0,4216.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2343936.0,9.7
October 2015 Second Open Bidding Exercise,2015-10-21 00:00:00,2015,cat_a,57301.0,1690.0,2229.0,1684.0,4,10,15,2015-10-15 00:00:00,958651.0,323528.0,11.0,2015.0,9892.0,4496.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,3015.14,2278858.0,9.7
October 2015 First Open Bidding Exercise,2015-10-07 00:00:00,2015,cat_a,56001.0,1687.0,2210.0,1679.0,4,10,1,2015-10-01 00:00:00,958651.0,323528.0,11.0,2015.0,9892.0,4496.0,5.4,1.0,2016.0,2.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,2801.85,2278858.0,9.7
September 2015 Second Open Bidding Exercise,2015-09-23 00:00:00,2015,cat_a,55399.0,1687.0,2276.0,1684.0,3,9,15,2015-09-15 00:00:00,959314.0,324357.0,10.0,2015.0,9103.0,3756.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,2841.94,2192314.0,9.7
September 2015 First Open Bidding Exercise,2015-09-09 00:00:00,2015,cat_a,57089.0,1688.0,2553.0,1688.0,3,9,1,2015-09-01 00:00:00,959314.0,324357.0,10.0,2015.0,9103.0,3756.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,2882.77,2192314.0,9.7
August 2015 Second Open Bidding Exercise,2015-08-19 00:00:00,2015,cat_a,57498.0,1756.0,2597.0,1756.0,3,8,15,2015-08-15 00:00:00,960196.0,325302.0,9.0,2015.0,8358.0,3252.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2447055.0,9.7
August 2015 First Open Bidding Exercise,2015-08-05 00:00:00,2015,cat_a,56209.0,1688.0,2446.0,1687.0,3,8,1,2015-08-01 00:00:00,960196.0,325302.0,9.0,2015.0,8358.0,3252.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2447055.0,9.7
July 2015 Second Open Bidding Exercise,2015-07-22 00:00:00,2015,cat_a,55889.0,1435.0,1966.0,1365.0,3,7,15,2015-07-15 00:00:00,960873.0,326108.0,8.0,2015.0,7976.0,3798.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,3338.86,2381169.0,9.7
July 2015 First Open Bidding Exercise,2015-07-08 00:00:00,2015,cat_a,58700.0,1466.0,1891.0,1464.0,3,7,1,2015-07-01 00:00:00,960873.0,326108.0,8.0,2015.0,7976.0,3798.0,6.7,4.0,2016.0,1.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,3331.14,2381169.0,9.7
June 2015 Second Open Bidding Exercise,2015-06-17 00:00:00,2015,cat_a,61000.0,1429.0,1766.0,1421.0,2,6,15,2015-06-15 00:00:00,963759.0,328129.0,7.0,2015.0,7931.0,3761.0,6.2,3.0,2015.0,4.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,3323.13,2278717.0,9.7
June 2015 First Open Bidding Exercise,2015-06-04 00:00:00,2015,cat_a,66000.0,1432.0,1943.0,1393.0,2,6,1,2015-06-01 00:00:00,963759.0,328129.0,7.0,2015.0,7931.0,3761.0,6.2,3.0,2015.0,4.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2278717.0,9.7
May 2015 Second Open Bidding Exercise,2015-05-20 00:00:00,2015,cat_a,66590.0,1434.0,2351.0,1431.0,2,5,15,2015-05-15 00:00:00,962756.0,328037.0,6.0,2015.0,7689.0,3627.0,6.2,3.0,2015.0,4.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,3463.1,2250744.0,9.7
May 2015 First Open Bidding Exercise,2015-05-06 00:00:00,2015,cat_a,68589.0,1444.0,2891.0,1438.0,2,5,1,2015-05-01 00:00:00,962756.0,328037.0,6.0,2015.0,7689.0,3627.0,6.2,3.0,2015.0,4.0,5535002.0,7697.0,1.2,9495.0,6819.0,10515.0,7624.0,,2250744.0,9.7
